Date : 2024-03-16 14:38:57
Directory : f:\flutter\projects\Matgry\matgry\lib
Total : 57 files,  3046 codes, 76 comments, 343 blanks, all 3465 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         57 |      3,046 |         76 |        343 |      3,465 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |         57 |      3,046 |         76 |        343 |      3,465 |
| . (Files)                                                                                                                                     |          3 |         91 |          0 |         15 |        106 |
| core                                                                                                                                          |          4 |         90 |          2 |         17 |        109 |
| core\shared                                                                                                                                   |          1 |         25 |          1 |          5 |         31 |
| core\shared\widgets                                                                                                                           |          1 |         25 |          1 |          5 |         31 |
| core\utils                                                                                                                                    |          3 |         65 |          1 |         12 |         78 |
| features                                                                                                                                      |         48 |      2,702 |         27 |        258 |      2,987 |
| features\auth                                                                                                                                 |         14 |        846 |         12 |         86 |        944 |
| features\auth\data                                                                                                                            |          1 |         33 |          1 |          5 |         39 |
| features\auth\data\models                                                                                                                     |          1 |         33 |          1 |          5 |         39 |
| features\auth\presentaion                                                                                                                     |         13 |        813 |         11 |         81 |        905 |
| features\auth\presentaion\login                                                                                                               |          4 |        252 |          0 |         27 |        279 |
| features\auth\presentaion\login\view                                                                                                          |          2 |        196 |          0 |          8 |        204 |
| features\auth\presentaion\login\view (Files)                                                                                                  |          1 |         16 |          0 |          3 |         19 |
| features\auth\presentaion\login\view model                                                                                                    |          2 |         56 |          0 |         19 |         75 |
| features\auth\presentaion\login\view model\login cubit                                                                                        |          2 |         56 |          0 |         19 |         75 |
| features\auth\presentaion\login\view\widget                                                                                                   |          1 |        180 |          0 |          5 |        185 |
| features\auth\presentaion\recover password                                                                                                    |          4 |        216 |         11 |         19 |        246 |
| features\auth\presentaion\recover password\view                                                                                               |          2 |        198 |          0 |          9 |        207 |
| features\auth\presentaion\recover password\view (Files)                                                                                       |          1 |         36 |          0 |          3 |         39 |
| features\auth\presentaion\recover password\view model                                                                                         |          2 |         18 |         11 |         10 |         39 |
| features\auth\presentaion\recover password\view model\forget password cubit                                                                   |          2 |         18 |         11 |         10 |         39 |
| features\auth\presentaion\recover password\view\widget                                                                                        |          1 |        162 |          0 |          6 |        168 |
| features\auth\presentaion\register                                                                                                            |          5 |        345 |          0 |         35 |        380 |
| features\auth\presentaion\register\view                                                                                                       |          3 |        277 |          0 |         13 |        290 |
| features\auth\presentaion\register\view (Files)                                                                                               |          1 |         16 |          0 |          3 |         19 |
| features\auth\presentaion\register\view model                                                                                                 |          2 |         68 |          0 |         22 |         90 |
| features\auth\presentaion\register\view model\register cubit                                                                                  |          2 |         68 |          0 |         22 |         90 |
| features\auth\presentaion\register\view\widget                                                                                                |          2 |        261 |          0 |         10 |        271 |
| features\details                                                                                                                              |          5 |        297 |          1 |         24 |        322 |
| features\details\presentation                                                                                                                 |          5 |        297 |          1 |         24 |        322 |
| features\details\presentation\view                                                                                                            |          5 |        297 |          1 |         24 |        322 |
| features\details\presentation\view (Files)                                                                                                    |          1 |         16 |          0 |          3 |         19 |
| features\details\presentation\view\widgets                                                                                                    |          4 |        281 |          1 |         21 |        303 |
| features\favourite                                                                                                                            |          2 |        164 |          1 |         11 |        176 |
| features\favourite\presentaion                                                                                                                |          2 |        164 |          1 |         11 |        176 |
| features\favourite\presentaion\view                                                                                                           |          2 |        164 |          1 |         11 |        176 |
| features\favourite\presentaion\view (Files)                                                                                                   |          1 |        109 |          1 |          7 |        117 |
| features\favourite\presentaion\view\widgets                                                                                                   |          1 |         55 |          0 |          4 |         59 |
| features\home                                                                                                                                 |         18 |        992 |         12 |         96 |      1,100 |
| features\home\model                                                                                                                           |          7 |        133 |          8 |         28 |        169 |
| features\home\model\categories_model                                                                                                          |          3 |         50 |          0 |         14 |         64 |
| features\home\model\categories_model\categories                                                                                               |          3 |         50 |          0 |         14 |         64 |
| features\home\model\home_model                                                                                                                |          4 |         83 |          8 |         14 |        105 |
| features\home\presentaion                                                                                                                     |         11 |        859 |          4 |         68 |        931 |
| features\home\presentaion\view                                                                                                                |          9 |        774 |          4 |         44 |        822 |
| features\home\presentaion\view (Files)                                                                                                        |          1 |         27 |          0 |          4 |         31 |
| features\home\presentaion\view model                                                                                                          |          2 |         85 |          0 |         24 |        109 |
| features\home\presentaion\view model\home cubit                                                                                               |          2 |         85 |          0 |         24 |        109 |
| features\home\presentaion\view\widgets                                                                                                        |          8 |        747 |          4 |         40 |        791 |
| features\onBoarding                                                                                                                           |          6 |        322 |          0 |         27 |        349 |
| features\onBoarding\presentaion                                                                                                               |          6 |        322 |          0 |         27 |        349 |
| features\onBoarding\presentaion\view                                                                                                          |          4 |        277 |          0 |         15 |        292 |
| features\onBoarding\presentaion\view (Files)                                                                                                  |          1 |         84 |          0 |          4 |         88 |
| features\onBoarding\presentaion\view\widgets                                                                                                  |          3 |        193 |          0 |         11 |        204 |
| features\onBoarding\presentaion\view_model                                                                                                    |          2 |         45 |          0 |         12 |         57 |
| features\onBoarding\presentaion\view_model\onboarding cubit                                                                                   |          2 |         45 |          0 |         12 |         57 |
| features\search                                                                                                                               |          1 |          8 |          0 |          3 |         11 |
| features\search\presentation                                                                                                                  |          1 |          8 |          0 |          3 |         11 |
| features\search\presentation\view                                                                                                             |          1 |          8 |          0 |          3 |         11 |
| features\splash                                                                                                                               |          2 |         73 |          1 |         11 |         85 |
| features\splash\presentation                                                                                                                  |          2 |         73 |          1 |         11 |         85 |
| features\splash\presentation\view                                                                                                             |          2 |         73 |          1 |         11 |         85 |
| features\splash\presentation\view (Files)                                                                                                     |          1 |         10 |          0 |          2 |         12 |
| features\splash\presentation\view\widget                                                                                                      |          1 |         63 |          1 |          9 |         73 |
| gen                                                                                                                                           |          2 |        163 |         47 |         53 |        263 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\flutter\projects\Matgry\matgry\lib\bloc_observer.dart                                                                                      | Dart     |         23 |          0 |          5 |         28 |
| f:\flutter\projects\Matgry\matgry\lib\constant.dart                                                                                           | Dart     |         30 |          0 |          5 |         35 |
| f:\flutter\projects\Matgry\matgry\lib\core\shared\widgets\shoes_photo_widget.dart                                                             | Dart     |         25 |          1 |          5 |         31 |
| f:\flutter\projects\Matgry\matgry\lib\core\utils\cache_helper.dart                                                                            | Dart     |         24 |          0 |          5 |         29 |
| f:\flutter\projects\Matgry\matgry\lib\core\utils\dio_helper.dart                                                                              | Dart     |         33 |          1 |          6 |         40 |
